C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-03 00:44:57.385375: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-03 00:44:57.385641: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-03 00:45:01.086152: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-03 00:45:01.089985: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-03 00:45:01.090236: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-03 00:45:01.097983: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-03 00:45:01.098433: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-03 00:45:01.099137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-03 00:45:01.100048: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 895, epsilon: 1.5, 보상 합:573
에피소드 100 : 422, epsilon: 1.4268262953635011, 보상 합:239
에피소드 200 : 902, epsilon: 1.3572221847604897, 보상 합:574
에피소드 300 : 999, epsilon: 1.2910135345779783, 보상 합:630
에피소드 400 : 924, epsilon: 1.2280347058706922, 보상 합:597
에피소드 500 : 311, epsilon: 1.1681281399701908, 보상 합:183
에피소드 600 : 722, epsilon: 1.111143964309016, 보상 합:456
에피소드 700 : 512, epsilon: 1.056939617473699, 보상 합:315
에피소드 800 : 958, epsilon: 1.005379492548609, 보상 합:610
에피소드 900 : 628, epsilon: 0.9563345978583789, 보상 합:399
에피소드 1000 : 823, epsilon: 0.9096822342601434, 보상 합:550
에피소드 1100 : 446, epsilon: 0.8653056881782626, 보상 합:297
에피소드 1200 : 300, epsilon: 0.8230939396135708, 보상 합:182
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:717
에피소드 1400 : 951, epsilon: 0.7447475699902992, 보상 합:686
에피소드 1500 : 557, epsilon: 0.7084169441801518, 보상 합:385
에피소드 1600 : 929, epsilon: 0.6738586160248651, 보상 합:669
에피소드 1700 : 525, epsilon: 0.6409861284676901, 보상 합:376
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:786
에피소드 1900 : 457, epsilon: 0.5799737291200572, 보상 합:313
에피소드 2000 : 899, epsilon: 0.5516811782190176, 보상 합:695
에피소드 2100 : 501, epsilon: 0.5247688078266746, 보상 합:362
에피소드 2200 : 378, epsilon: 0.4991692893291036, 보상 합:273
에피소드 2300 : 410, epsilon: 0.47481857856845094, 보상 합:295
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:841
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:842
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:844
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:852
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:812
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:881
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:863
에피소드 3100 : 284, epsilon: 0.3182485743825335, 보상 합:200
에피소드 3200 : 782, epsilon: 0.3027236229272975, 보상 합:645
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:866
에피소드 3400 : 666, epsilon: 0.27390881125866456, 보상 합:570
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:863
에피소드 3600 : 582, epsilon: 0.24783674349442225, 보상 합:504
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:892
에피소드 3800 : 392, epsilon: 0.22424635097961643, 보상 합:277
에피소드 3900 : 724, epsilon: 0.2133070601446863, 보상 합:602
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:921
에피소드 4100 : 410, epsilon: 0.19300338279627216, 보상 합:304
에피소드 4200 : 792, epsilon: 0.18358820111188587, 보상 합:709
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:895
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:926
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:925
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:924
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:925
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:922
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:946
에피소드 5000 : 486, epsilon: 0.123050541647853, 보상 합:408
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:925
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:963
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:967
에피소드 5400 : 723, epsilon: 0.10074022381316684, 보상 합:663
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:942
에피소드 5600 : 314, epsilon: 0.09115124443797802, 보상 합:227
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:947
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:969
에피소드 5900 : 926, epsilon: 0.07845166017537016, 보상 합:830
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:997
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:985
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:931
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:968
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:984
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:989
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:972
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:1000
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:993
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:997
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:1004
에피소드 7100 : 161, epsilon: 0.04304872402864694, 보상 합:110
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:966
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:1010
에피소드 7400 : 999, epsilon: 0.03705099024486357, 보상 합:912
에피소드 7500 : 364, epsilon: 0.03524355143375197, 보상 합:268
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:996
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:965
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:1003
에피소드 7900 : 999, epsilon: 0.03, 보상 합:1012
에피소드 8000 : 999, epsilon: 0.03, 보상 합:1009
에피소드 8100 : 999, epsilon: 0.03, 보상 합:1002
에피소드 8200 : 999, epsilon: 0.03, 보상 합:1026
에피소드 8300 : 999, epsilon: 0.03, 보상 합:981
에피소드 8400 : 999, epsilon: 0.03, 보상 합:1007
에피소드 8500 : 999, epsilon: 0.03, 보상 합:1010
에피소드 8600 : 999, epsilon: 0.03, 보상 합:991
에피소드 8700 : 999, epsilon: 0.03, 보상 합:995
에피소드 8800 : 999, epsilon: 0.03, 보상 합:1010
에피소드 8900 : 999, epsilon: 0.03, 보상 합:1010
에피소드 9000 : 999, epsilon: 0.03, 보상 합:1016
에피소드 9100 : 999, epsilon: 0.03, 보상 합:981
에피소드 9200 : 999, epsilon: 0.03, 보상 합:1007
에피소드 9300 : 999, epsilon: 0.03, 보상 합:1016
에피소드 9400 : 999, epsilon: 0.03, 보상 합:984
에피소드 9500 : 999, epsilon: 0.03, 보상 합:1003
에피소드 9600 : 999, epsilon: 0.03, 보상 합:1019
에피소드 9700 : 999, epsilon: 0.03, 보상 합:1012
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1003
에피소드 9900 : 999, epsilon: 0.03, 보상 합:1001
에피소드 10000 : 999, epsilon: 0.03, 보상 합:984
에피소드 10100 : 999, epsilon: 0.03, 보상 합:999
에피소드 10200 : 999, epsilon: 0.03, 보상 합:996
에피소드 10300 : 999, epsilon: 0.03, 보상 합:1014
에피소드 10400 : 999, epsilon: 0.03, 보상 합:1004
에피소드 10500 : 999, epsilon: 0.03, 보상 합:1018
에피소드 10600 : 999, epsilon: 0.03, 보상 합:983
에피소드 10700 : 999, epsilon: 0.03, 보상 합:998
에피소드 10800 : 999, epsilon: 0.03, 보상 합:997
에피소드 10900 : 999, epsilon: 0.03, 보상 합:981
에피소드 11000 : 999, epsilon: 0.03, 보상 합:994
에피소드 11100 : 999, epsilon: 0.03, 보상 합:1011
에피소드 11200 : 999, epsilon: 0.03, 보상 합:1014
에피소드 11300 : 999, epsilon: 0.03, 보상 합:990
에피소드 11400 : 536, epsilon: 0.03, 보상 합:477
에피소드 11500 : 999, epsilon: 0.03, 보상 합:997
에피소드 11600 : 999, epsilon: 0.03, 보상 합:1010
에피소드 11700 : 999, epsilon: 0.03, 보상 합:1007
에피소드 11800 : 249, epsilon: 0.03, 보상 합:172
에피소드 11900 : 164, epsilon: 0.03, 보상 합:102

Process finished with exit code 0
