C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-11 07:03:01.665671: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-11 07:03:01.665936: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-11 07:03:09.664197: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-11 07:03:09.669160: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-11 07:03:09.671689: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-11 07:03:09.679520: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-11 07:03:09.679973: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-11 07:03:09.682154: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-11 07:03:09.683096: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 749, epsilon: 1.0, 보상 합:478
에피소드 100 : 569, epsilon: 0.951217530242334, 보상 합:345
에피소드 200 : 888, epsilon: 0.9048147898403269, 보상 합:582
에피소드 300 : 780, epsilon: 0.8606756897186528, 보상 합:532
에피소드 400 : 603, epsilon: 0.8186898039137951, 보상 합:407
에피소드 500 : 744, epsilon: 0.7787520933134615, 보상 합:550
에피소드 600 : 999, epsilon: 0.7407626428726788, 보상 합:736
에피소드 700 : 227, epsilon: 0.7046264116491338, 보상 합:140
에피소드 800 : 999, epsilon: 0.6702529950324074, 보상 합:784
에피소드 900 : 585, epsilon: 0.637556398572254, 보상 합:423
에피소드 1000 : 671, epsilon: 0.606454822840097, 보상 합:510
에피소드 1100 : 999, epsilon: 0.5768704587855094, 보상 합:795
에피소드 1200 : 636, epsilon: 0.548729293075715, 보상 합:458
에피소드 1300 : 871, epsilon: 0.5219609229311034, 보상 합:695
에피소드 1400 : 861, epsilon: 0.49649837999353363, 보상 합:657
에피소드 1500 : 374, epsilon: 0.4722779627867691, 보상 합:280
에피소드 1600 : 170, epsilon: 0.44923907734991153, 보상 합:97
에피소드 1700 : 999, epsilon: 0.4273240856451275, 보상 합:838
에피소드 1800 : 734, epsilon: 0.406478161360422, 보상 합:569
에피소드 1900 : 999, epsilon: 0.3866491527467055, 보상 합:868
에피소드 2000 : 729, epsilon: 0.3677874521460121, 보상 합:580
에피소드 2100 : 999, epsilon: 0.34984587188445015, 보상 합:845
